Subject,Run,ConditionName,MEDIAN_RT_LARGER,MEDIAN_RT_SMALLER,PROP_LARGER,PROP_NLR,PROP_SMALLER
54,0,PUNISH,352.0,482.5,0.625,0.0,0.375
54,0,REWARD,525.0,,1.0,0.0,0.0
54,1,PUNISH,519.5,537.5,0.625,0.0,0.375
54,1,REWARD,636.0,687.0,0.5625,0.0,0.4375
55,0,PUNISH,415.5,352.5,0.375,0.0,0.625
55,0,REWARD,514.0,312.0,0.3125,0.0,0.6875
55,1,PUNISH,374.0,343.5,0.625,0.0,0.375
55,1,REWARD,326.0,399.5,0.33333333333299997,0.0,0.666666666667
56,0,PUNISH,310.0,417.0,0.5625,0.0,0.4375
56,0,REWARD,408.0,345.0,0.3125,0.0,0.6875
56,1,PUNISH,320.0,390.0,0.8125,0.0,0.1875
56,1,REWARD,459.0,569.0,0.625,0.0,0.375
57,0,PUNISH,366.0,331.0,0.6875,0.0,0.3125
57,0,REWARD,370.0,324.0,0.4375,0.0,0.5625
57,1,PUNISH,491.5,362.0,0.5,0.0,0.5
57,1,REWARD,541.0,462.0,0.3125,0.0,0.6875
58,0,PUNISH,266.0,241.5,0.375,0.0,0.625
58,0,REWARD,249.0,314.0,0.4375,0.0,0.5625
58,1,PUNISH,257.0,263.0,0.5,0.0,0.5
58,1,REWARD,260.5,321.5,0.625,0.0,0.375
59,0,PUNISH,269.0,237.0,0.6875,0.0,0.3125
59,0,REWARD,282.0,259.0,0.9375,0.0,0.0625
59,1,PUNISH,286.0,307.0,0.8125,0.0,0.1875
59,1,REWARD,325.0,315.5,0.5,0.0,0.5
60,0,PUNISH,255.0,293.0,0.5,0.0,0.5
60,0,REWARD,329.0,316.5,0.375,0.0,0.625
60,1,PUNISH,321.0,265.0,0.5625,0.0,0.4375
60,1,REWARD,419.0,504.0,0.4375,0.0,0.5625
61,0,PUNISH,460.0,492.5,0.5,0.0,0.5
61,0,REWARD,498.5,731.5,0.875,0.0,0.125
61,1,PUNISH,591.0,614.5,0.75,0.0,0.25
61,1,REWARD,521.0,509.5,0.75,0.0,0.25
62,0,PUNISH,264.0,261.0,0.4375,0.0,0.5625
62,0,REWARD,273.0,268.0,0.4375,0.0,0.5625
62,1,PUNISH,238.0,266.0,0.4375,0.0,0.5625
62,1,REWARD,328.0,345.5,0.46666666666699996,0.0,0.533333333333
63,0,PUNISH,229.0,248.0,0.375,0.0,0.625
63,0,REWARD,230.5,250.0,0.375,0.0,0.625
63,1,PUNISH,405.0,352.0,0.25,0.0,0.75
63,1,REWARD,385.5,352.0,0.375,0.0,0.625
64,0,PUNISH,329.5,492.5,0.5,0.0,0.5
64,0,REWARD,298.0,297.0,0.375,0.0,0.625
64,1,PUNISH,590.0,294.0,0.625,0.0,0.375
64,1,REWARD,612.5,700.5,0.625,0.0,0.375
65,0,PUNISH,275.0,288.0,0.5625,0.0,0.4375
65,0,REWARD,302.0,296.0,0.5,0.0,0.5
65,1,PUNISH,264.0,274.5,0.5,0.0,0.5
65,1,REWARD,262.0,258.0,0.5,0.0,0.5
66,0,PUNISH,347.0,399.5,0.5,0.0,0.5
66,0,REWARD,407.0,494.0,0.625,0.0,0.375
66,1,PUNISH,344.0,494.5,0.625,0.0,0.375
66,1,REWARD,449.0,410.0,0.4375,0.0,0.5625
67,0,PUNISH,304.5,415.0,0.625,0.0,0.375
67,0,REWARD,422.0,324.0,0.25,0.0,0.75
67,1,PUNISH,314.5,240.5,0.375,0.0,0.625
67,1,REWARD,461.5,477.0,0.375,0.0,0.625
68,0,PUNISH,240.0,221.0,0.4375,0.0,0.5625
68,0,REWARD,221.0,221.0,0.6875,0.0,0.3125
68,1,PUNISH,246.0,319.0,0.5625,0.0,0.4375
68,1,REWARD,384.0,297.0,0.5625,0.0,0.4375
69,0,PUNISH,469.0,354.0,0.5625,0.0,0.4375
69,0,REWARD,358.0,403.0,0.5625,0.0,0.4375
69,1,PUNISH,625.0,467.0,0.1875,0.0,0.8125
69,1,REWARD,387.0,436.0,0.4375,0.0,0.5625
70,0,PUNISH,442.5,387.5,0.5,0.0,0.5
70,0,REWARD,505.0,443.0,0.5625,0.0,0.4375
70,1,PUNISH,660.5,390.0,0.625,0.0,0.375
70,1,REWARD,306.0,567.0,0.4375,0.0,0.5625
71,0,PUNISH,368.5,300.0,0.125,0.0,0.875
71,0,REWARD,,321.0,0.0,0.0,1.0
71,1,PUNISH,501.0,341.0,0.0625,0.0,0.9375
71,1,REWARD,,408.5,0.0,0.0,1.0
72,0,PUNISH,413.0,516.0,0.6875,0.0,0.3125
72,0,REWARD,379.5,366.5,0.625,0.0,0.375
72,1,PUNISH,429.0,408.0,0.533333333333,0.0,0.46666666666699996
72,1,REWARD,605.0,545.0,0.6875,0.0,0.3125
73,0,PUNISH,299.0,289.0,0.4375,0.0,0.5625
73,0,REWARD,408.5,342.5,0.625,0.0,0.375
73,1,PUNISH,389.0,392.0,0.4375,0.0,0.5625
73,1,REWARD,345.0,283.0,0.3125,0.0,0.6875
74,0,PUNISH,550.0,538.0,0.4375,0.0,0.5625
74,0,REWARD,594.0,572.5,0.75,0.0,0.25
74,1,PUNISH,471.0,519.0,0.4375,0.0,0.5625
74,1,REWARD,558.0,601.0,0.1875,0.0,0.8125
75,0,PUNISH,614.5,509.5,0.375,0.0,0.625
75,0,REWARD,419.0,529.0,0.1875,0.0,0.8125
75,1,PUNISH,1060.0,423.0,0.0625,0.0,0.9375
75,1,REWARD,590.0,521.0,0.3125,0.0,0.6875
76,0,PUNISH,336.0,325.0,0.5625,0.0,0.4375
76,0,REWARD,329.5,442.5,0.875,0.0,0.125
76,1,PUNISH,385.0,412.0,0.4375,0.0,0.5625
76,1,REWARD,328.0,419.5,0.625,0.0,0.375
77,0,PUNISH,327.0,370.0,0.533333333333,0.0,0.46666666666699996
77,0,REWARD,272.0,332.5,0.33333333333299997,0.0,0.666666666667
77,1,PUNISH,397.5,458.0,0.625,0.0,0.375
77,1,REWARD,412.0,387.0,0.666666666667,0.0,0.33333333333299997
78,0,PUNISH,519.0,469.0,0.4375,0.0,0.5625
78,0,REWARD,722.5,559.0,0.25,0.0,0.75
78,1,PUNISH,577.0,536.0,0.5,0.0,0.5
78,1,REWARD,671.0,624.0,0.5,0.0,0.5
79,0,PUNISH,403.0,453.0,0.4375,0.0,0.5625
79,0,REWARD,482.0,560.0,0.5625,0.0,0.4375
79,1,PUNISH,405.5,357.5,0.375,0.0,0.625
79,1,REWARD,498.0,368.0,0.8125,0.0,0.1875
80,0,PUNISH,328.0,354.0,0.5625,0.0,0.4375
80,0,REWARD,366.5,314.5,0.5,0.0,0.5
80,1,PUNISH,359.0,308.0,0.5625,0.0,0.4375
80,1,REWARD,293.0,328.5,0.5,0.0,0.5
81,0,PUNISH,377.5,294.5,0.375,0.0,0.625
81,0,REWARD,402.5,393.5,0.375,0.0,0.625
81,1,PUNISH,289.0,386.0,0.6,0.0,0.4
81,1,REWARD,320.0,276.0,0.5,0.0,0.5
82,0,PUNISH,547.5,531.5,0.375,0.0,0.625
82,0,REWARD,585.0,708.0,0.6875,0.0,0.3125
82,1,PUNISH,626.0,619.0,0.5625,0.0,0.4375
82,1,REWARD,560.0,478.0,0.6,0.0,0.4
83,0,PUNISH,332.0,456.5,0.375,0.0,0.625
83,0,REWARD,375.5,440.5,0.625,0.0,0.375
83,1,PUNISH,559.0,331.0,0.4375,0.0,0.5625
83,1,REWARD,429.0,561.0,0.5625,0.0,0.4375
84,0,PUNISH,311.0,276.5,0.5,0.0,0.5
84,0,REWARD,297.0,377.0,0.4375,0.0,0.5625
84,1,PUNISH,517.0,533.0,0.5,0.0,0.5
84,1,REWARD,468.0,517.0,0.5625,0.0,0.4375
85,0,PUNISH,354.5,515.0,0.625,0.0,0.375
85,0,REWARD,419.0,481.0,0.375,0.0,0.625
85,1,PUNISH,378.0,507.5,0.33333333333299997,0.0,0.666666666667
85,1,REWARD,380.0,415.5,0.5,0.0,0.5
86,0,PUNISH,524.5,513.0,0.5,0.0,0.5
86,0,REWARD,419.0,556.5,0.8666666666670001,0.0,0.133333333333
86,1,PUNISH,530.0,482.0,0.4375,0.0,0.5625
86,1,REWARD,670.0,645.0,0.375,0.0,0.625
87,0,PUNISH,429.5,410.0,0.375,0.0,0.625
87,0,REWARD,435.0,484.5,0.46666666666699996,0.0,0.533333333333
87,1,PUNISH,355.0,391.0,0.4375,0.0,0.5625
87,1,REWARD,544.0,303.0,0.4375,0.0,0.5625
88,0,PUNISH,557.0,579.0,0.4375,0.0,0.5625
88,0,REWARD,543.0,454.5,0.625,0.0,0.375
88,1,PUNISH,580.5,488.0,0.5,0.0,0.5
88,1,REWARD,646.5,513.5,0.5,0.0,0.5
89,0,PUNISH,342.0,277.0,0.6875,0.0,0.3125
89,0,REWARD,232.0,280.0,0.4375,0.0,0.5625
89,1,PUNISH,323.0,351.0,0.0625,0.0,0.9375
89,1,REWARD,377.0,319.0,0.5625,0.0,0.4375
90,0,PUNISH,433.0,474.5,0.5,0.0,0.5
90,0,REWARD,449.0,459.0,0.4375,0.0,0.5625
90,1,PUNISH,486.0,581.0,0.5,0.0,0.5
90,1,REWARD,450.0,539.0,0.4375,0.0,0.5625
91,0,PUNISH,430.5,322.5,0.5,0.0,0.5
91,0,REWARD,340.0,267.0,0.5,0.0,0.5
91,1,PUNISH,325.0,304.0,0.3125,0.0,0.6875
91,1,REWARD,299.0,358.0,0.3125,0.0,0.6875
92,0,PUNISH,472.5,374.5,0.5,0.0,0.5
92,0,REWARD,315.0,517.0,0.4375,0.0,0.5625
92,1,PUNISH,418.0,360.0,0.5,0.0,0.5
92,1,REWARD,539.0,366.0,0.5625,0.0,0.4375
93,0,PUNISH,217.0,284.0,0.5625,0.0,0.4375
93,0,REWARD,261.0,,1.0,0.0,0.0
93,1,PUNISH,220.0,251.0,0.375,0.0,0.625
93,1,REWARD,252.0,,1.0,0.0,0.0
94,0,PUNISH,409.5,378.5,0.375,0.0,0.625
94,0,REWARD,,540.5,0.0,0.0,1.0
94,1,PUNISH,,330.5,0.0,0.0,1.0
94,1,REWARD,301.0,402.0,0.0625,0.0,0.9375
95,0,PUNISH,382.0,273.0,0.5625,0.0,0.4375
95,0,REWARD,312.0,358.0,0.5,0.0,0.5
95,1,PUNISH,497.0,383.5,0.6,0.0,0.4
95,1,REWARD,425.0,511.0,0.4375,0.0,0.5625
96,0,PUNISH,249.0,263.0,0.5625,0.0,0.4375
96,0,REWARD,267.0,267.5,0.375,0.0,0.625
96,1,PUNISH,275.0,247.0,0.4375,0.0,0.5625
96,1,REWARD,328.5,291.0,0.533333333333,0.0,0.46666666666699996
97,0,PUNISH,348.5,386.0,0.625,0.0,0.375
97,0,REWARD,431.0,415.0,0.375,0.0,0.625
97,1,PUNISH,376.0,403.0,0.4375,0.0,0.5625
97,1,REWARD,412.5,356.0,0.4,0.0,0.6
98,0,PUNISH,434.5,425.5,0.5,0.0,0.5
98,0,REWARD,450.0,557.0,0.375,0.0,0.625
98,1,PUNISH,433.0,573.0,0.4375,0.0,0.5625
98,1,REWARD,538.0,548.0,0.5625,0.0,0.4375
99,0,PUNISH,273.0,264.0,0.4375,0.0,0.5625
99,0,REWARD,263.5,280.0,0.5,0.0,0.5
99,1,PUNISH,268.0,330.0,0.375,0.0,0.625
99,1,REWARD,325.0,317.0,0.5625,0.0,0.4375
100,0,PUNISH,323.0,307.0,0.5625,0.0,0.4375
100,0,REWARD,312.5,290.0,0.375,0.0,0.625
100,1,PUNISH,249.0,260.0,0.3125,0.0,0.6875
100,1,REWARD,285.0,385.0,0.5625,0.0,0.4375
101,0,PUNISH,206.5,263.0,0.533333333333,0.0,0.46666666666699996
101,0,REWARD,334.0,265.0,0.25,0.0,0.75
101,1,PUNISH,268.0,281.0,0.533333333333,0.0,0.46666666666699996
101,1,REWARD,279.0,222.0,0.6875,0.0,0.3125
102,0,PUNISH,452.0,375.5,0.625,0.0,0.375
102,0,REWARD,586.5,326.0,0.25,0.0,0.75
102,1,PUNISH,332.0,429.0,0.8125,0.0,0.1875
102,1,REWARD,426.0,352.0,0.4375,0.0,0.5625
103,0,PUNISH,308.0,468.0,0.625,0.0,0.375
103,0,REWARD,312.0,343.0,0.4375,0.0,0.5625
103,1,PUNISH,413.5,364.5,0.625,0.0,0.375
103,1,REWARD,397.5,316.0,0.625,0.0,0.375
104,0,PUNISH,382.0,352.0,0.5625,0.0,0.4375
104,0,REWARD,336.5,368.5,0.5,0.0,0.5
104,1,PUNISH,358.5,416.0,0.5,0.0,0.5
104,1,REWARD,360.0,365.5,0.375,0.0,0.625
105,0,PUNISH,376.0,240.0,0.533333333333,0.0,0.46666666666699996
105,0,REWARD,398.5,551.5,0.5,0.0,0.5
105,1,PUNISH,420.0,331.5,0.75,0.0,0.25
105,1,REWARD,513.0,440.0,0.6,0.0,0.4
106,0,PUNISH,283.0,300.0,0.5625,0.0,0.4375
106,0,REWARD,395.0,238.0,0.875,0.0,0.125
106,1,PUNISH,336.0,261.0,0.642857142857,0.0,0.357142857143
106,1,REWARD,475.0,397.5,0.75,0.0,0.25
107,0,PUNISH,267.0,345.0,0.4375,0.0,0.5625
107,0,REWARD,270.0,250.0,0.5625,0.0,0.4375
107,1,PUNISH,428.0,418.0,0.4375,0.0,0.5625
107,1,REWARD,515.0,455.0,0.5625,0.0,0.4375
108,0,PUNISH,250.0,264.0,0.8125,0.0,0.1875
108,0,REWARD,325.5,285.0,0.75,0.0,0.25
108,1,PUNISH,254.5,259.0,0.25,0.0,0.75
108,1,REWARD,,278.0,0.0,0.0,1.0
109,0,PUNISH,295.0,490.0,0.375,0.0,0.625
109,0,REWARD,468.0,444.5,0.33333333333299997,0.0,0.666666666667
109,1,PUNISH,580.5,576.0,0.533333333333,0.0,0.46666666666699996
109,1,REWARD,590.0,617.0,0.357142857143,0.0,0.642857142857
110,0,PUNISH,572.0,387.0,0.4375,0.0,0.5625
110,0,REWARD,506.0,506.0,0.5625,0.0,0.4375
110,1,PUNISH,623.0,532.0,0.8125,0.0,0.1875
110,1,REWARD,556.5,681.0,0.533333333333,0.0,0.46666666666699996
111,0,PUNISH,347.0,307.0,0.5625,0.0,0.4375
